Date,Ouv.
2012-02-02,6.1
2012-02-03,6.0
2012-02-04,5.9
2012-02-05,5.7
2012-02-06,5.4
2012-02-07,5.7
2012-02-08,5.6
2012-02-09,5.8
2012-02-10,5.9
2012-02-11,5.6
2012-02-12,5.5
2012-02-13,5.3
2012-02-14,4.5
2012-02-15,4.3
2012-02-16,4.3
2012-02-17,4.4
2012-02-18,4.2
2012-02-19,4.4
2012-02-20,4.4
2012-02-21,4.3
2012-02-22,4.4
2012-02-23,5.0
2012-02-24,5.0
2012-02-25,4.8
2012-02-26,4.9
2012-02-27,5.0
2012-02-28,4.9
2012-02-29,4.9
2012-03-01,4.9
2012-03-02,4.7
2012-03-03,4.6
2012-03-04,4.8
2012-03-05,5.0
2012-03-06,5.0
2012-03-07,4.9
2012-03-08,4.9
2012-03-09,4.9
2012-03-10,4.8
2012-03-11,4.9
2012-03-12,4.9
2012-03-13,5.3
2012-03-14,5.4
2012-03-15,5.3
2012-03-16,5.3
2012-03-17,5.2
2012-03-18,5.3
2012-03-19,4.7
2012-03-20,4.8
2012-03-21,4.8
2012-03-22,4.7
2012-03-23,4.7
2012-03-24,4.7
2012-03-25,4.6
2012-03-26,4.6
2012-03-27,4.8
2012-03-28,4.8
2012-03-29,4.8
2012-03-30,4.9
2012-03-31,4.9
2012-04-01,4.8
2012-04-02,5.0
2012-04-03,4.9
2012-04-04,4.9
2012-04-05,4.9
2012-04-06,4.9
2012-04-07,4.7
2012-04-08,4.8
2012-04-09,4.9
2012-04-10,4.8
2012-04-11,4.9
2012-04-12,4.9
2012-04-13,4.9
2012-04-14,5.0
2012-04-15,5.0
2012-04-16,4.9
2012-04-17,5.0
2012-04-18,5.1
2012-04-19,5.1
2012-04-20,5.3
2012-04-21,5.3
2012-04-22,5.2
2012-04-23,5.0
2012-04-24,5.1
2012-04-25,5.1
2012-04-26,5.1
2012-04-27,5.1
2012-04-28,5.0
2012-04-29,4.9
2012-04-30,4.9
2012-05-01,5.0
2012-05-02,5.1
2012-05-03,5.1
2012-05-04,5.1
2012-05-05,5.1
2012-05-06,5.1
2012-05-07,5.1
2012-05-08,5.1
2012-05-09,5.0
2012-05-10,4.8
2012-05-11,5.0
2012-05-12,4.9
2012-05-13,4.9
2012-05-14,5.0
2012-05-15,5.0
2012-05-16,5.1
2012-05-17,5.1
2012-05-18,5.1
2012-05-19,5.1
2012-05-20,5.1
2012-05-21,5.1
2012-05-22,5.1
2012-05-23,5.1
2012-05-24,5.1
2012-05-25,5.2
2012-05-26,5.1
2012-05-27,5.1
2012-05-28,5.1
2012-05-29,5.2
2012-05-30,5.1
2012-05-31,5.2
2012-06-01,5.3
2012-06-02,5.3
2012-06-03,5.2
2012-06-04,5.3
2012-06-05,5.4
2012-06-06,5.5
2012-06-07,5.6
2012-06-08,5.6
2012-06-09,5.6
2012-06-10,5.5
2012-06-11,5.6
2012-06-12,5.7
2012-06-13,5.9
2012-06-14,5.9
2012-06-15,6.5
2012-06-16,6.4
2012-06-17,6.2
2012-06-18,6.3
2012-06-19,6.5
2012-06-20,6.7
2012-06-21,6.7
2012-06-22,6.6
2012-06-23,6.4
2012-06-24,6.3
2012-06-25,6.3
2012-06-26,6.4
2012-06-27,6.7
2012-06-28,6.6
2012-06-29,6.7
2012-06-30,6.7
2012-07-01,6.6
2012-07-02,6.8
2012-07-03,6.4
2012-07-04,6.5
2012-07-05,6.7
2012-07-06,6.7
2012-07-07,6.8
2012-07-08,6.8
2012-07-09,7.0
2012-07-10,7.2
2012-07-11,7.2
2012-07-12,7.8
2012-07-13,7.7
2012-07-14,7.5
2012-07-15,7.6
2012-07-16,8.5
2012-07-17,8.8
2012-07-18,9.1
2012-07-19,8.9
2012-07-20,8.5
2012-07-21,8.9
2012-07-22,8.4
2012-07-23,8.4
2012-07-24,8.6
2012-07-25,8.8
2012-07-26,8.9
2012-07-27,8.9
2012-07-28,8.9
2012-07-29,8.7
2012-07-30,9.1
2012-07-31,9.4
2012-08-01,9.6
2012-08-02,10.5
2012-08-03,11.0
2012-08-04,11.0
2012-08-05,10.9
2012-08-06,10.9
2012-08-07,11.1
2012-08-08,11.1
2012-08-09,11.1
2012-08-10,11.4
2012-08-11,11.5
2012-08-12,11.6
2012-08-13,12.0
2012-08-14,12.2
2012-08-15,13.3
2012-08-16,13.5
2012-08-17,11.6
2012-08-18,11.6
2012-08-19,8.0
2012-08-20,10.1
2012-08-21,9.9
2012-08-22,9.8
2012-08-23,10.1
2012-08-24,10.6
2012-08-25,10.5
2012-08-26,10.6
2012-08-27,10.9
2012-08-28,10.9
2012-08-29,10.9
2012-08-30,10.8
2012-08-31,10.2
2012-09-01,10.0
2012-09-02,10.2
2012-09-03,10.5
2012-09-04,10.4
2012-09-05,11.0
2012-09-06,11.2
2012-09-07,11.0
2012-09-08,11.0
2012-09-09,11.0
2012-09-10,11.2
2012-09-11,11.3
2012-09-12,11.4
2012-09-13,11.4
2012-09-14,11.7
2012-09-15,11.8
2012-09-16,11.9
2012-09-17,11.9
2012-09-18,12.3
2012-09-19,12.6
2012-09-20,12.3
2012-09-21,12.4
2012-09-22,12.2
2012-09-23,12.2
2012-09-24,12.1
2012-09-25,12.2
2012-09-26,12.3
2012-09-27,12.3
2012-09-28,12.4
2012-09-29,12.4
2012-09-30,12.4
2012-10-01,12.4
2012-10-02,12.8
2012-10-03,12.9
2012-10-04,12.9
2012-10-05,12.7
2012-10-06,12.5
2012-10-07,11.8
2012-10-08,11.8
2012-10-09,11.9
2012-10-10,12.1
2012-10-11,12.0
2012-10-12,12.0
2012-10-13,11.9
2012-10-14,11.7
2012-10-15,11.8
2012-10-16,11.9
2012-10-17,11.8
2012-10-18,11.9
2012-10-19,11.7
2012-10-20,11.7
2012-10-21,11.6
2012-10-22,11.7
2012-10-23,11.6
2012-10-24,11.6
2012-10-25,10.9
2012-10-26,10.2
2012-10-27,10.3
2012-10-28,10.7
2012-10-29,10.6
2012-10-30,10.9
2012-10-31,11.2
2012-11-01,10.6
2012-11-02,10.5
2012-11-03,10.6
2012-11-04,10.8
2012-11-05,10.8
2012-11-06,10.9
2012-11-07,10.9
2012-11-08,10.9
2012-11-09,10.8
2012-11-10,10.9
2012-11-11,10.9
2012-11-12,11.0
2012-11-13,10.9
2012-11-14,10.9
2012-11-15,11.2
2012-11-16,11.8
2012-11-17,11.8
2012-11-18,11.6
2012-11-19,11.8
2012-11-20,11.7
2012-11-21,11.8
2012-11-22,12.4
2012-11-23,12.3
2012-11-24,12.4
2012-11-25,12.5
2012-11-26,12.3
2012-11-27,12.2
2012-11-28,12.4
2012-11-29,12.4
2012-11-30,12.6
2012-12-01,12.6
2012-12-02,12.5
2012-12-03,12.7
2012-12-04,13.4
2012-12-05,13.4
2012-12-06,13.3
2012-12-07,13.5
2012-12-08,13.4
2012-12-09,13.4
2012-12-10,13.4
2012-12-11,13.6
2012-12-12,13.7
2012-12-13,13.7
2012-12-14,13.6
2012-12-15,13.5
2012-12-16,13.3
2012-12-17,13.3
2012-12-18,13.3
2012-12-19,13.6
2012-12-20,13.5
2012-12-21,13.5
2012-12-22,13.4
2012-12-23,13.3
2012-12-24,13.4
2012-12-25,13.4
2012-12-26,13.5
2012-12-27,13.4
2012-12-28,13.4
2012-12-29,13.4
2012-12-30,13.4
2012-12-31,13.5
2013-01-01,13.3
2013-01-02,13.3
2013-01-03,13.4
2013-01-04,13.5
2013-01-05,13.4
2013-01-06,13.4
2013-01-07,13.6
2013-01-08,13.7
2013-01-09,13.8
2013-01-10,14.1
2013-01-11,14.1
2013-01-12,14.2
2013-01-13,14.1
2013-01-14,14.3
2013-01-15,14.3
2013-01-16,14.7
2013-01-17,15.5
2013-01-18,15.7
2013-01-19,15.6
2013-01-20,15.7
2013-01-21,16.8
2013-01-22,17.3
2013-01-23,17.5
2013-01-24,16.9
2013-01-25,17.4
2013-01-26,17.9
2013-01-27,17.8
2013-01-28,18.7
2013-01-29,19.5
2013-01-30,19.7
2013-01-31,20.4
2013-02-01,20.5
2013-02-02,19.6
2013-02-03,20.6
2013-02-04,20.4
2013-02-05,20.6
2013-02-06,21.2
2013-02-07,22.1
2013-02-08,22.7
2013-02-09,23.6
2013-02-10,24.0
2013-02-11,24.6
2013-02-12,25.2
2013-02-13,24.2
2013-02-14,27.2
2013-02-15,27.1
2013-02-16,27.2
2013-02-17,26.8
2013-02-18,27.0
2013-02-19,29.4
2013-02-20,29.6
2013-02-21,29.8
2013-02-22,30.3
2013-02-23,29.8
2013-02-24,29.9
2013-02-25,30.4
2013-02-26,31.1
2013-02-27,30.9
2013-02-28,33.4
2013-03-01,34.5
2013-03-02,34.3
2013-03-03,34.5
2013-03-04,36.2
2013-03-05,40.3
2013-03-06,41.0
2013-03-07,42.0
2013-03-08,44.2
2013-03-09,46.8
2013-03-10,46.0
2013-03-11,48.4
2013-03-12,44.3
2013-03-13,46.9
2013-03-14,47.2
2013-03-15,47.0
2013-03-16,47.0
2013-03-17,47.4
2013-03-18,51.6
2013-03-19,59.1
2013-03-20,64.5
2013-03-21,70.8
2013-03-22,69.9
2013-03-23,64.3
2013-03-24,71.5
2013-03-25,73.6
2013-03-26,78.5
2013-03-27,88.9
2013-03-28,86.2
2013-03-29,90.5
2013-03-30,92.2
2013-03-31,93.0
2013-04-01,104.0
2013-04-02,118.0
2013-04-03,135.0
2013-04-04,132.1
2013-04-05,142.3
2013-04-06,142.6
2013-04-07,162.3
2013-04-08,187.5
2013-04-09,230.0
2013-04-10,165.0
2013-04-11,124.9
2013-04-12,117.0
2013-04-13,93.0
2013-04-14,90.0
2013-04-15,82.4
2013-04-16,68.4
2013-04-17,93.1
2013-04-18,109.0
2013-04-19,118.5
2013-04-20,126.6
2013-04-21,119.2
2013-04-22,127.4
2013-04-23,143.5
2013-04-24,154.2
2013-04-25,141.7
2013-04-26,136.9
2013-04-27,128.0
2013-04-28,134.4
2013-04-29,144.0
2013-04-30,139.2
2013-05-01,116.4
2013-05-02,106.3
2013-05-03,98.1
2013-05-04,112.9
2013-05-05,116.0
2013-05-06,112.3
2013-05-07,109.6
2013-05-08,113.2
2013-05-09,112.8
2013-05-10,117.7
2013-05-11,115.6
2013-05-12,114.8
2013-05-13,118.0
2013-05-14,111.4
2013-05-15,114.2
2013-05-16,118.2
2013-05-17,123.5
2013-05-18,123.2
2013-05-19,122.5
2013-05-20,122.0
2013-05-21,122.9
2013-05-22,123.8
2013-05-23,126.3
2013-05-24,133.1
2013-05-25,132.0
2013-05-26,133.5
2013-05-27,129.8
2013-05-28,129.0
2013-05-29,132.3
2013-05-30,128.8
2013-05-31,128.8
2013-06-01,129.3
2013-06-02,122.5
2013-06-03,120.7
2013-06-04,121.4
2013-06-05,121.9
2013-06-06,119.0
2013-06-07,111.0
2013-06-08,107.9
2013-06-09,100.4
2013-06-10,106.3
2013-06-11,109.0
2013-06-12,108.8
2013-06-13,103.9
2013-06-14,100.0
2013-06-15,99.8
2013-06-16,99.9
2013-06-17,101.9
2013-06-18,107.3
2013-06-19,108.3
2013-06-20,111.3
2013-06-21,109.5
2013-06-22,108.2
2013-06-23,107.9
2013-06-24,102.1
2013-06-25,103.3
2013-06-26,104.0
2013-06-27,101.7
2013-06-28,94.7
2013-06-29,95.0
2013-06-30,97.5
2013-07-01,84.6
2013-07-02,87.7
2013-07-03,76.9
2013-07-04,77.7
2013-07-05,66.3
2013-07-06,66.8
2013-07-07,72.5
2013-07-08,74.6
2013-07-09,74.2
2013-07-10,84.5
2013-07-11,91.2
2013-07-12,88.5
2013-07-13,91.4
2013-07-14,90.4
2013-07-15,93.1
2013-07-16,92.7
2013-07-17,90.5
2013-07-18,85.4
2013-07-19,85.8
2013-07-20,85.7
2013-07-21,85.5
2013-07-22,86.1
2013-07-23,86.9
2013-07-24,87.5
2013-07-25,89.4
2013-07-26,90.6
2013-07-27,89.1
2013-07-28,92.1
2013-07-29,93.3
2013-07-30,96.3
2013-07-31,97.9
2013-08-01,96.4
2013-08-02,97.2
2013-08-03,96.7
2013-08-04,96.6
2013-08-05,96.9
2013-08-06,97.1
2013-08-07,96.9
2013-08-08,94.8
2013-08-09,93.4
2013-08-10,93.3
2013-08-11,94.2
2013-08-12,95.1
2013-08-13,97.9
2013-08-14,98.0
2013-08-15,97.5
2013-08-16,98.3
2013-08-17,99.6
2013-08-18,98.8
2013-08-19,102.3
2013-08-20,105.0
2013-08-21,111.4
2013-08-22,109.7
2013-08-23,107.6
2013-08-24,108.7
2013-08-25,111.8
2013-08-26,112.2
2013-08-27,117.4
2013-08-28,117.6
2013-08-29,117.5
2013-08-30,123.2
2013-08-31,129.5
2013-09-01,128.3
2013-09-02,127.4
2013-09-03,127.6
2013-09-04,120.6
2013-09-05,120.5
2013-09-06,116.3
2013-09-07,119.1
2013-09-08,116.6
2013-09-09,120.0
2013-09-10,121.5
2013-09-11,125.4
2013-09-12,125.8
2013-09-13,126.5
2013-09-14,124.1
2013-09-15,124.6
2013-09-16,125.1
2013-09-17,126.0
2013-09-18,126.3
2013-09-19,124.2
2013-09-20,122.9
2013-09-21,122.6
2013-09-22,122.7
2013-09-23,122.2
2013-09-24,122.5
2013-09-25,123.4
2013-09-26,123.5
2013-09-27,123.5
2013-09-28,124.8
2013-09-29,125.2
2013-09-30,123.1
2013-10-01,125.5
2013-10-02,99.8
2013-10-03,116.8
2013-10-04,121.3
2013-10-05,121.1
2013-10-06,121.7
2013-10-07,123.2
2013-10-08,124.3
2013-10-09,125.8
2013-10-10,125.7
2013-10-11,125.5
2013-10-12,126.5
2013-10-13,130.4
2013-10-14,133.0
2013-10-15,138.6
2013-10-16,137.4
2013-10-17,142.7
2013-10-18,149.6
2013-10-19,159.8
2013-10-20,163.1
2013-10-21,174.2
2013-10-22,183.9
2013-10-23,200.6
2013-10-24,183.1
2013-10-25,178.1
2013-10-26,175.9
2013-10-27,185.7
2013-10-28,187.9
2013-10-29,198.2
2013-10-30,194.6
2013-10-31,198.2
2013-11-01,198.5
2013-11-02,200.9
2013-11-03,207.6
2013-11-04,225.2
2013-11-05,239.3
2013-11-06,253.7
2013-11-07,283.3
2013-11-08,323.8
2013-11-09,336.1
2013-11-10,311.9
2013-11-11,342.8
2013-11-12,343.3
2013-11-13,366.8
2013-11-14,396.2
2013-11-15,419.1
2013-11-16,412.0
2013-11-17,435.9
2013-11-18,461.0
2013-11-19,600.0
2013-11-20,504.9
2013-11-21,587.0
2013-11-22,680.0
2013-11-23,800.2
2013-11-24,746.9
2013-11-25,785.9
2013-11-26,790.2
2013-11-27,863.9
2013-11-28,955.0
2013-11-29,1030.0
2013-11-30,1105.1
2013-12-01,998.1
2013-12-02,997.9
2013-12-03,1048.0
2013-12-04,1065.5
2013-12-05,1129.8
2013-12-06,1028.2
2013-12-07,833.3
2013-12-08,717.1
2013-12-09,871.4
2013-12-10,967.2
2013-12-11,1005.6
2013-12-12,878.9
2013-12-13,911.0
2013-12-14,904.0
2013-12-15,891.2
2013-12-16,896.8
2013-12-17,712.2
2013-12-18,668.8
2013-12-19,545.6
2013-12-20,702.0
2013-12-21,655.4
2013-12-22,590.0
2013-12-23,650.2
2013-12-24,662.0
2013-12-25,662.0
2013-12-26,680.0
2013-12-27,757.5
2013-12-28,726.0
