Date,Dernier,Ouv.,Plus Haut,Plus Bas,Vol.,Variation %
2021-12-17,47875.2,47630.4,47997.2,47500.5,47860.0,0.52
2021-12-16,48942.8,48876.6,49256.4,48532.3,77200.0,0.15
2021-12-15,48871.5,48366.2,49477.9,46572.6,80280.0,1.04
2021-12-14,48366.5,46709.8,48635.0,46338.3,62540.0,3.56
2021-12-13,46703.6,50075.9,50196.1,45848.2,80370.0,-6.74
2021-12-12,50081.0,49332.5,50779.2,48670.5,40300.0,1.55
2021-12-11,49314.5,47138.4,49487.0,46834.0,45230.0,4.62
2021-12-10,47137.2,47591.7,49974.8,47007.1,68060.0,-0.97
2021-12-09,47596.6,50477.6,50790.2,47341.9,58690.0,-5.7
2021-12-08,50473.9,50596.6,51204.7,48700.7,55590.0,-0.24
2021-12-07,50595.2,50547.4,51918.6,50070.9,56290.0,0.07
2021-12-06,50562.1,49412.1,50913.3,47237.9,89680.0,2.34
2021-12-05,49405.5,49196.4,49689.3,47797.8,72030.0,0.43
2021-12-04,49195.2,53620.7,53847.2,42587.8,168000.0,-8.27
2021-12-03,53631.5,56495.2,57543.6,52008.9,89200.0,-5.07
2021-12-02,56496.0,57207.8,57377.5,55807.9,54940.0,-1.25
2021-12-01,57210.3,56891.7,59064.3,56496.5,66750.0,0.58
2021-11-30,56882.9,57795.2,59174.4,55936.9,73660.0,-1.58
2021-11-29,57794.8,57288.1,58855.2,56726.7,58650.0,0.88
2021-11-28,57291.5,54758.0,57392.3,53448.3,49280.0,4.61
2021-11-27,54765.9,53747.2,55280.3,53654.3,40710.0,1.93
2021-11-26,54664.0,58995.0,59229.0,53565.0,10830.0,-7.34
2021-11-25,58995.0,57209.0,59423.4,57070.0,3980.0,3.12
2021-11-24,57209.0,57602.0,57762.0,55916.9,4890.0,-0.68
2021-11-23,57602.0,56299.0,57866.2,55460.0,8560.0,2.31
2021-11-22,56299.0,58790.0,59407.0,55714.0,8830.0,-4.24
2021-11-21,58790.0,59739.0,60047.0,58624.0,2440.0,-1.59
2021-11-20,59739.0,58130.0,59886.0,57494.4,3130.0,2.77
2021-11-19,58130.0,56932.0,58379.0,55670.0,5180.0,1.96
